ACCESSION_NUMBER	COMPANY_TYPE	SVCCOMPANY_ID	ENTITYNAME	FILENUMBER	ADDRESS
0001283467-15-000003	serviceCompanyTransferAgent	1	Registrar and Transfer Company	084-00436	    
0001283467-15-000003	serviceCompanyTransferAgent	2	First American Stock Transfer Company	084-05795	    
0001096906-15-000305	asServiceCompanyTransferAgent	1	Progressive Transfer Corp.	084-01335	    
0001146032-15-000004	serviceCompanyTransferAgent	1	BNY MELLON INVESTMENT SERVICING (US) INC	084-01761	    
0000817712-15-000009	serviceCompany	1	DST Systems, Inc.	084-00448	301 W. 11th Street  Kansas City  64105
0001020337-15-000002	serviceCompanyTransferAgent	1	Boston Financial Data Services, Inc.	084-00896	    
0000889231-15-000010	serviceCompanyTransferAgent	1	Sentinel Administrative Services, Inc.	084-06175	    
0000889231-15-000009	serviceCompany	1	Sentinel Administrative Services, Inc.	084-06175	One National Life Drive  Montpelier  05604
0000891804-15-000202	serviceCompanyTransferAgent	1	Boston Financial Data Services	084-01078	    
0001506388-15-000002	asServiceCompanyTransferAgent	1	Aflac Incorporated	084-00501	    
0000734700-15-000001	serviceCompanyTransferAgent	1	Boston Financial Data Services Inc.	084-00896	    
0000734700-15-000001	serviceCompanyTransferAgent	2	DST Systems Inc.	084-00448	    
0000734700-15-000001	serviceCompanyTransferAgent	3	State Street Bank & Trust	085-05003	    
0000734700-15-000001	serviceCompanyTransferAgent	4	National Financial Data Services Inc.	084-01078	    
0001451316-15-000004	asServiceCompanyTransferAgent	1	Franklin Templeton Investor Services, LLC	084-01036	    
0000353291-15-000002	serviceCompanyTransferAgent	1	Franklin Templeton International Services (India) Private Limited	084-06303	    
0000353291-15-000002	serviceCompanyTransferAgent	2	Franklin Templeton Investments Poland sp. z o.o	084-06302	    
0000353291-15-000002	serviceCompanyTransferAgent	3	Franklin Templeton Investment Services, GmbH	084-06340	    
0001432531-15-000004	asServiceCompanyTransferAgent	1	Franklin Templeton Investor Services, LLC	084-01036	    
0001432532-15-000002	asServiceCompanyTransferAgent	1	Franklin Templeton Investor Services, LLC	084-01036	    
0000769188-15-000004	serviceCompanyTransferAgent	1	Boston Financial Data Services	084-00896	    
0000027048-15-000003	asServiceCompanyTransferAgent	1	Thrivent Financial Investor Services, Inc.	084-01547	    
0000027048-15-000003	asServiceCompanyTransferAgent	2	State Street Bank & Trust	085-05003	    
0000027048-15-000003	asServiceCompanyTransferAgent	3	DeAWM Service Company	084-01713	    
0000027048-15-000003	asServiceCompanyTransferAgent	4	State Farm Investment Management Corp	084-00839	    
0000027048-15-000003	asServiceCompanyTransferAgent	5	Transamerica Fund Services, Inc.	084-06130	    
0000027048-15-000003	asServiceCompanyTransferAgent	6	American Century Services, LLC	084-01406	    
0000027048-15-000003	asServiceCompanyTransferAgent	7	Morgan Stanley Services Co, Inc.	084-06270	    
0000027048-15-000003	asServiceCompanyTransferAgent	8	Leaf Financial Corporation	084-05900	    
0000027048-15-000003	asServiceCompanyTransferAgent	9	American National Stock Transfer, LLC	084-06479	    
0000027048-15-000003	asServiceCompanyTransferAgent	10	Pioneer Investment Management Shareholder Services, Inc	084-01359	    
0000027048-15-000003	serviceCompanyTransferAgent	1	Boston Financial Data Services, Inc.	084-00896	    
0000027048-15-000003	serviceCompanyTransferAgent	2	National Financial Data Services, Inc.	084-01078	    
0000027048-15-000003	serviceCompanyTransferAgent	3	DST Worldwide Services India Private Limited	084-06342	    
0001452780-15-000003	asServiceCompanyTransferAgent	1	DST Systems, Inc.	084-00448	    
0001133796-15-000022	asServiceCompanyTransferAgent	1	Deutsche Bank Trust Company Americas	085-05212	    
0001133796-15-000022	asServiceCompanyTransferAgent	2	CST Trust Company	084-06506	    
0001133796-15-000022	serviceCompanyTransferAgent	1	CST Trust Company	084-06506	    
0001352156-15-000005	asServiceCompanyTransferAgent	1	Reich & Tang Services, Inc.	084-02007	    
0001352156-15-000005	serviceCompanyTransferAgent	1	Boston Financial Data Services, Inc.	084-00896	    
0000920493-15-000002	serviceCompanyTransferAgent	1	Ultimus Fund Solutions, LLC	084-05829	    
0000817712-15-000007	serviceCompanyTransferAgent	1	DST Systems, Inc.	084-00448	    
0001571049-15-002366	asServiceCompanyTransferAgent	1	Capital Transfer Agency Inc	084-06117	    
0001571049-15-002366	asServiceCompanyTransferAgent	2	Madison Stock Transfer Inc	084-05639	    
0001571049-15-002366	asServiceCompanyTransferAgent	3	Philadelphia Stock Transfer, Inc	084-06456	    
0001571049-15-002366	asServiceCompanyTransferAgent	4	ClearTrust, LLC	084-06351	    
0000950123-15-004121	serviceCompany	1	DST Systems, Inc.	084-00448	210 W. 10th Street  Kansas City  64105
0000950123-15-004113	serviceCompanyTransferAgent	1	Columbia Management Investment Services Corp.	084-05685	    
0001022116-15-000005	asServiceCompanyTransferAgent	1	U.S. Bank Trust National Association	085-11299	    
0001022116-15-000005	asServiceCompanyTransferAgent	2	Wells Fargo Bank, N.A.	085-10133	    
0001022116-15-000005	asServiceCompanyTransferAgent	3	BOKF, National Association	085-10438	    
0001022116-15-000005	asServiceCompanyTransferAgent	4	Commerce Bank	085-10700	    
0001022116-15-000005	asServiceCompanyTransferAgent	5	Bank of America, N.A.	085-10189	    
0001022116-15-000005	asServiceCompanyTransferAgent	6	Deutsche Bank National Trust Company	085-11220	    
0001022116-15-000005	asServiceCompanyTransferAgent	7	Deutsche Bank Trust Company Americas	085-05212	    
0001022116-15-000004	serviceCompanyTransferAgent	1	U.S. Bank National Association	085-11347	    
0000019617-15-000285	asServiceCompanyTransferAgent	1	Vantagepoints Transfer Agents, LLC	084-05796	    
0000019617-15-000285	serviceCompanyTransferAgent	1	Wells Fargo Bank, NA	085-10133	    
0000019617-15-000285	serviceCompanyTransferAgent	2	Bank of New York	085-11396	    
0000019617-15-000285	serviceCompanyTransferAgent	3	U.S. Bancorp	085-11357	    
0000019617-15-000284	serviceCompanyTransferAgent	1	JP Morgan Chase Bank, NA.	085-11399	    
0000019617-15-000284	serviceCompanyTransferAgent	2	Wells Fargo Bank	085-10133	    
0001451217-15-000002	serviceCompanyTransferAgent	1	UMB Funds Services, Inc.	084-05792	    
0000838155-15-000008	serviceCompanyTransferAgent	1	Wilmington Trust Company	085-05557	    
0001458661-15-000007	serviceCompanyTransferAgent	1	Wilmington Trust Company	085-05557	    
0001458661-15-000006	asServiceCompanyTransferAgent	1	Wilmington Trust, National Association	085-11422	    
0001458661-15-000006	asServiceCompanyTransferAgent	2	Manufacturers and Traders Trust Company	085-05057	    
0000950123-15-004109	asServiceCompanyTransferAgent	1	Tri-Continental Corporation	084-00458	    
0000950123-15-004109	serviceCompanyTransferAgent	1	Boston Financial Data Services, Inc.	084-00896	    
0001144204-15-018560	serviceCompanyTransferAgent	1	DST Systems, Inc.	084-00448	    
0001144204-15-018560	serviceCompanyTransferAgent	2	Gemini Fund Services LLC	084-06083	    
0001144204-15-018558	serviceCompany	1	DST Systems, Inc.	084-00448	430 W. 7th Street  Kansas City  64105
0001144204-15-018558	serviceCompany	2	GEMINI FUND SERVICES LLC	084-06083	17605 Wright Street  OMAHA  68130
0000276398-15-000001	asServiceCompanyTransferAgent	1	OFI Global Asset Management, Inc.	084-006477	    
