ACCESSION_NUMBER	ACCT_HOLDER_TYPE	EQUITYSECURITY	DEBTSECURITY	OPENENDINVESTMENTCOMPANY	LIMITEDPARTNERSHIP	MUNICIPALDEBT	OTHER	NUMBERISSUES	AMOUNTISSUES
0001060257-14-000003	notTransMaintMasterSecHolder	0.0	46.0	0.0	0.0	0.0	0.0		
0001060257-14-000003	priorAgent							0	0.0
0001060257-14-000003	securityHolderAccounts	21.0	41.0	38.0	0.0	0.0	0.0		
0001060257-14-000003	transMaintainMasterSecHolder	22.0	44.0	0.0	0.0	0.0	0.0		
0001060257-14-000003	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001354488-14-001580	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001354488-14-001580	transMaintainMasterSecHolder	143.0	0.0	0.0	0.0	0.0	0.0		
0001354488-14-001580	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0001354488-14-001580	priorAgent							0	0.0
0001354488-14-001580	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001354488-14-001580	dividendReinvDirectPurchasePlan							0	
0001354488-14-001580	dividendAndInterest							0	0.0
0001354488-14-001580	directRegistrationSystem							0	
0001354488-14-001582	currentAgent							0	0.0
